amount,day,hour,timestamp
14.964057971014494,15,6,2015-09-15 06:00:00
13.081853281853283,15,7,2015-09-15 07:00:00
12.978942307692307,15,8,2015-09-15 08:00:00
13.14243119266055,15,9,2015-09-15 09:00:00
12.68982768204558,15,10,2015-09-15 10:00:00
12.18105677346824,15,11,2015-09-15 11:00:00
12.677134146341464,15,12,2015-09-15 12:00:00
12.2054932735426,15,13,2015-09-15 13:00:00
12.77672745194677,15,14,2015-09-15 14:00:00
12.069889655172414,15,15,2015-09-15 15:00:00
12.222237569060773,15,16,2015-09-15 16:00:00
11.435679611650485,15,17,2015-09-15 17:00:00
11.22018836192398,15,18,2015-09-15 18:00:00
11.148294655414908,15,19,2015-09-15 19:00:00
11.28817702448211,15,20,2015-09-15 20:00:00
11.825965136054421,15,21,2015-09-15 21:00:00
12.470123106060607,15,22,2015-09-15 22:00:00
11.786519189765459,15,23,2015-09-15 23:00:00
11.41268243243243,16,0,2015-09-16 00:00:00
11.240367231638418,16,1,2015-09-16 01:00:00
11.150167427701675,16,2,2015-09-16 02:00:00
10.962671905697446,16,3,2015-09-16 03:00:00
13.118281938325993,16,4,2015-09-16 04:00:00
16.212838196286473,16,5,2015-09-16 05:00:00
15.18213828425096,16,6,2015-09-16 06:00:00
14.134126984126985,16,7,2015-09-16 07:00:00
13.637887485648681,16,8,2015-09-16 08:00:00
13.65315852205006,16,9,2015-09-16 09:00:00
12.818474656560873,16,10,2015-09-16 10:00:00
13.162706957846622,16,11,2015-09-16 11:00:00
12.938004042445678,16,12,2015-09-16 12:00:00
12.647680548234055,16,13,2015-09-16 13:00:00
12.841971465629053,16,14,2015-09-16 14:00:00
12.895520530900042,16,15,2015-09-16 15:00:00
12.470388621794871,16,16,2015-09-16 16:00:00
12.038378746594006,16,17,2015-09-16 17:00:00
11.679781576448244,16,18,2015-09-16 18:00:00
11.606149406861174,16,19,2015-09-16 19:00:00
11.876906628652886,16,20,2015-09-16 20:00:00
12.794192581491194,16,21,2015-09-16 21:00:00
12.914061589679566,16,22,2015-09-16 22:00:00
12.70188679245283,16,23,2015-09-16 23:00:00
11.697791619479048,17,0,2015-09-17 00:00:00
11.244900086880975,17,1,2015-09-17 01:00:00
11.186256830601094,17,2,2015-09-17 02:00:00
12.099467140319716,17,3,2015-09-17 03:00:00
13.97858407079646,17,4,2015-09-17 04:00:00
16.117381489841986,17,5,2015-09-17 05:00:00
15.13732833957553,17,6,2015-09-17 06:00:00
13.773415023974428,17,7,2015-09-17 07:00:00
13.666830052229813,17,8,2015-09-17 08:00:00
13.397139384116693,17,9,2015-09-17 09:00:00
13.260531309297914,17,10,2015-09-17 10:00:00
13.234565998972778,17,11,2015-09-17 11:00:00
13.19296469366563,17,12,2015-09-17 12:00:00
13.614025974025974,17,13,2015-09-17 13:00:00
12.879056216659828,17,14,2015-09-17 14:00:00
13.333200304066896,17,15,2015-09-17 15:00:00
13.046575342465754,17,16,2015-09-17 16:00:00
12.035899676375404,17,17,2015-09-17 17:00:00
11.582305475504322,17,18,2015-09-17 18:00:00
11.591662352602818,17,19,2015-09-17 19:00:00
11.637429643527204,17,20,2015-09-17 20:00:00
12.087049689440995,17,21,2015-09-17 21:00:00
12.275494667157043,17,22,2015-09-17 22:00:00
12.718641087130296,17,23,2015-09-17 23:00:00
11.942857142857143,18,0,2015-09-18 00:00:00
11.210084033613445,18,1,2015-09-18 01:00:00
