distance,day,hour,timestamp
3.0307142857142857,12,11,2015-09-12 11:00:00
2.8752834091849397,12,12,2015-09-12 12:00:00
2.855345485375159,12,13,2015-09-12 13:00:00
2.9427890895121016,12,14,2015-09-12 14:00:00
2.958579106483037,12,15,2015-09-12 15:00:00
2.9844269730873902,12,16,2015-09-12 16:00:00
2.885048645805943,12,17,2015-09-12 17:00:00
2.879931818181818,12,18,2015-09-12 18:00:00
2.8459154595108056,12,19,2015-09-12 19:00:00
2.8134033710459474,12,20,2015-09-12 20:00:00
3.0045681937862034,12,21,2015-09-12 21:00:00
3.3146093940131416,12,22,2015-09-12 22:00:00
3.1798088599055543,12,23,2015-09-12 23:00:00
3.2014561403508774,13,0,2015-09-13 00:00:00
3.0808471760797342,13,1,2015-09-13 01:00:00
3.226534216335541,13,2,2015-09-13 02:00:00
3.2668572555205047,13,3,2015-09-13 03:00:00
3.553946280991736,13,4,2015-09-13 04:00:00
3.6086951754385965,13,5,2015-09-13 05:00:00
4.025795275590552,13,6,2015-09-13 06:00:00
3.774218134034166,13,7,2015-09-13 07:00:00
3.7324514811031664,13,8,2015-09-13 08:00:00
3.3610602593440126,13,9,2015-09-13 09:00:00
3.061256544502618,13,10,2015-09-13 10:00:00
3.0998042168674695,13,11,2015-09-13 11:00:00
2.921212527964206,13,12,2015-09-13 12:00:00
3.1496550137994483,13,13,2015-09-13 13:00:00
2.9968535699878984,13,14,2015-09-13 14:00:00
3.074382797110965,13,15,2015-09-13 15:00:00
3.018512616201859,13,16,2015-09-13 16:00:00
2.910997679814385,13,17,2015-09-13 17:00:00
2.9391223940820446,13,18,2015-09-13 18:00:00
3.071611876988335,13,19,2015-09-13 19:00:00
3.015016697588126,13,20,2015-09-13 20:00:00
3.119181398923905,13,21,2015-09-13 21:00:00
3.4644192412983967,13,22,2015-09-13 22:00:00
3.437379797088664,13,23,2015-09-13 23:00:00
2.9802087286527517,14,0,2015-09-14 00:00:00
2.7739483747609945,14,1,2015-09-14 01:00:00
2.888484005563282,14,2,2015-09-14 02:00:00
2.906085409252669,14,3,2015-09-14 03:00:00
3.8234175084175086,14,4,2015-09-14 04:00:00
4.634988864142538,14,5,2015-09-14 05:00:00
3.961820728291316,14,6,2015-09-14 06:00:00
3.481534391534392,14,7,2015-09-14 07:00:00
3.304882697947214,14,8,2015-09-14 08:00:00
3.0834632034632032,14,9,2015-09-14 09:00:00
3.0595869191049916,14,10,2015-09-14 10:00:00
3.027487951807229,14,11,2015-09-14 11:00:00
2.915668674698795,14,12,2015-09-14 12:00:00
2.839616788321168,14,13,2015-09-14 13:00:00
2.8401445247359645,14,14,2015-09-14 14:00:00
2.924598324297684,14,15,2015-09-14 15:00:00
2.7252271662763468,14,16,2015-09-14 16:00:00
2.53700480979449,14,17,2015-09-14 17:00:00
